,winner_index,loser_index
0,351,1402
1,1380,317
2,368,317
3,460,959
4,460,959
5,959,460
6,460,959
7,460,959
8,266,460
9,310,460
10,310,460
11,732,460
12,732,460
13,732,460
14,732,460
15,1212,322
16,841,916
17,841,1057
18,841,1043
19,882,1417
20,138,388
21,980,569
22,569,750
23,208,569
24,530,569
25,530,569
26,496,569
27,569,366
28,569,1055
29,529,569
30,551,569
31,569,289
32,621,569
33,843,569
34,654,569
35,569,425
36,569,843
37,1092,569
38,112,569
39,569,654
40,569,1381
41,662,569
42,569,662
43,569,287
44,569,287
45,1139,569
46,662,569
47,569,662
48,662,569
49,569,874
50,146,697
51,697,1105
52,559,697
53,985,697
54,697,7
55,88,1269
56,88,1361
57,88,1361
58,1419,816
59,1419,1144
60,1252,956
61,1252,956
62,956,1252
63,944,1314
64,1405,974
65,1277,234
66,1277,234
67,1277,234
68,63,793
69,893,63
70,1157,1312
71,1312,1157
72,1312,1157
73,1312,1157
74,1157,402
75,1157,402
76,1157,402
77,1157,402
78,1157,402
79,1249,377
80,1373,368
81,1373,368
82,368,1373
83,1373,368
84,368,1408
85,535,368
86,1235,986
87,986,1235
88,1235,986
89,986,1235
90,424,1160
91,424,1160
92,424,1160
93,424,1160
94,424,1160
95,87,1345
96,87,1345
97,69,122
98,69,215
99,69,215
100,69,623
101,69,1390
102,69,734
103,69,734
104,69,734
105,69,734
106,1286,1141
107,1286,1141
108,212,278
109,212,335
110,212,65
111,212,335
112,212,1392
113,1178,55
114,1085,228
115,51,497
116,51,497
117,38,497
118,38,497
119,628,497
120,497,1093
121,497,1328
122,497,1328
123,497,1328
124,968,497
125,497,279
126,497,279
127,431,497
128,497,431
129,431,497
130,75,1048
131,75,1048
132,1048,75
133,999,75
134,75,89
135,89,75
136,75,1154
137,75,720
138,75,915
139,75,915
140,75,503
141,75,503
142,503,75
143,75,503
144,503,75
145,820,1154
146,820,1154
147,820,1154
148,820,1154
149,820,1154
150,820,1154
151,523,1028
152,523,1028
153,523,1028
154,523,1028
155,15,1076
156,1043,5
157,1337,1043
158,841,1043
159,1043,4
160,1043,4
161,1043,4
162,1043,1371
163,1043,1371
164,1043,1230
165,837,1322
166,1322,12
167,225,1322
168,225,1322
169,962,1322
170,562,776
171,776,562
172,562,776
173,562,776
174,562,776
175,1247,985
176,433,1247
177,962,1247
178,1247,1380
179,33,543
180,300,543
181,543,300
182,778,543
183,543,796
184,998,765
185,998,1170
186,998,56
187,998,220
188,673,1167
189,673,1167
190,357,673
191,357,673
192,1350,1267
193,975,1034
194,975,1034
195,975,1034
196,975,1034
197,126,141
198,1325,504
199,504,1325
200,231,504
201,1252,780
202,220,138
203,138,1315
204,138,628
205,1205,138
206,138,1408
207,138,1392
208,885,138
209,138,796
210,138,1366
211,138,765
212,419,96
213,96,870
214,1395,521
215,521,1395
216,1027,695
217,362,205
218,362,205
219,362,205
220,362,205
221,954,676
222,505,1300
223,1300,505
224,781,779
225,781,779
226,122,1013
227,1013,122
228,586,1014
229,586,1392
230,586,422
231,586,1392
232,945,586
233,351,586
234,586,1249
235,65,586
236,1403,586
237,586,319
238,586,372
239,945,586
240,920,586
241,1279,364
242,364,1279
243,1279,364
244,1279,364
245,1121,364
246,1188,664
247,664,984
248,664,984
249,984,664
250,824,524
251,524,304
252,304,524
253,304,524
254,524,304
255,524,304
256,304,524
257,1027,695
258,695,40
259,1428,695
260,695,1428
261,1428,695
262,695,1428
263,1428,40
264,1428,40
265,40,1428
266,40,1428
267,695,40
268,40,1428
269,40,1428
270,40,1428
271,1428,40
272,1054,848
273,848,1054
274,848,1054
275,1348,166
276,166,1323
277,1323,166
278,730,117
279,117,1260
280,117,954
281,117,442
282,527,115
283,266,527
284,1205,527
285,415,1096
286,415,1096
287,415,1096
288,415,1096
289,415,1096
290,415,1096
291,415,1096
292,415,1096
293,700,840
294,700,840
295,700,840
296,700,840
297,700,840
298,215,288
299,528,690
300,200,909
301,703,538
302,1212,1136
303,229,167
304,229,167
305,229,167
306,167,229
307,229,167
308,1186,969
309,1186,969
310,969,467
311,467,969
312,467,969
313,969,467
314,467,969
315,1394,969
316,1315,969
317,498,713
318,498,713
319,713,1004
320,1032,1275
321,1032,832
322,1032,832
323,1032,832
324,1032,832
325,1032,832
326,1032,1153
327,1032,1153
328,1032,1153
329,1032,1153
330,1032,1267
331,1032,275
332,1032,275
333,1032,275
334,1032,275
335,1032,275
336,1032,275
337,1032,1351
338,1032,1351
339,1032,1351
340,1032,1351
341,1032,1351
342,1032,39
343,1032,39
344,1032,39
345,1032,39
346,1033,289
347,141,1410
348,545,141
349,982,141
350,921,514
351,514,1361
352,440,1258
353,440,895
354,440,895
355,440,202
356,440,202
357,269,440
358,269,440
359,732,440
