,index,player_name
0,0,lukarpov
1,1,danny77
2,2,cagliostro97
3,3,hugues2908
4,4,arda2828
5,5,ya_boy_agent
6,6,mohammad_baharan
7,7,an73r05
8,8,gjdgjdfj
9,9,jpokerflat
10,10,dfdghgh
11,11,laurenzchess
12,12,alfdl
13,13,totti
14,14,pecatur17an
15,15,lance5500
16,16,jackdouxx
17,17,wolf1108
18,18,sud3457
19,19,youknowwho_79
20,20,oldpaths
21,21,astueven7
22,22,hansdampf
23,23,youralterego
24,24,trial-__gre
25,25,runcrazex
26,26,hamidreza
27,27,vrg2311
28,28,irispseudonym
29,29,greenmachine
30,30,agmur
31,31,bringue
32,32,philipgraphics
33,33,ranko898
34,34,paulll
35,35,alandeejay
36,36,marlon6109
37,37,tjwds
38,38,ilkerk
39,39,gasdvbn
40,40,barrow-wight
41,41,wojand
42,42,redder
43,43,alpha3031
44,44,penguin100
45,45,isuckatchess91
46,46,craciun05
47,47,romanar2006
48,48,kingsmagician
49,49,martbryde
50,50,hopewins
51,51,per1966
52,52,oguzkagangurer
53,53,indignantary
54,54,marstem
55,55,zugaddict
56,56,wikiplayschess
57,57,bilel16
58,58,ezatfoda
59,59,tong1995
60,60,darobertson
61,61,snoopyfan
62,62,salosalo1
63,63,kyanh
64,64,chesspopper88
65,65,antitexnik
66,66,lordsamir
67,67,systemd
68,68,shiva1789
69,69,chesscarl
70,70,grundlesniffer
71,71,gomex
72,72,stergioos
73,73,mrcrusher
74,74,ramin741
75,75,ducksandcats
76,76,leizka
77,77,evan_h1234
78,78,theboss101
79,79,babblingboy
80,80,that_kid24
81,81,shadowdatsas
82,82,torri_tentori
83,83,adatene
84,84,cnopm
85,85,acidkat930
86,86,ravoshm
87,87,ca-va-lier
88,88,eideral
89,89,chess_pro_107
90,90,jorgeluis08
91,91,networkchess2
92,92,saitama_opm
93,93,zacandcheese
94,94,xlmichael
95,95,kellyclarkson
96,96,minecraftbook
97,97,mobin1388
98,98,nico1990
99,99,theking1234
100,100,wiktor_dudkiewicz
101,101,destroyer999
102,102,vivacaligula
103,103,jose63
104,104,harmon758
105,105,mashi
106,106,sansthecomic
107,107,jlb78
108,108,xinos
109,109,justinlew99
110,110,blessedup
111,111,eder98765
112,112,armourbuddy
113,113,the_real_pine_tree
114,114,harveyfu
115,115,jermius
116,116,daerka
117,117,behrooz36tehran
118,118,petarbosnjak
119,119,bluejaymo
120,120,jbh7
121,121,kerboodle
